N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
63;53;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );242.78
63;52;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );252.08
63;51;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );257.67
63;50;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );249.38
63;49;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );250.56
63;48;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );277.01
63;47;RS_GF_64;236 / 6,272 ( 4 % );22 / 92 ( 24 % );133;1,140 / 276,480 ( < 1 % );263.09
63;46;RS_GF_64;251 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );229.41
63;45;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );252.27
63;44;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );259.0
63;43;RS_GF_64;258 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );244.8
63;42;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );251.51
63;41;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );246.06
63;40;RS_GF_64;258 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );234.74
63;39;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );237.53
63;38;RS_GF_64;243 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );239.69
63;37;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );232.83
63;36;RS_GF_64;240 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );264.41
63;35;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );247.34
63;34;RS_GF_64;246 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );237.93
63;33;RS_GF_64;244 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );239.29
63;32;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );248.32
63;31;RS_GF_64;241 / 6,272 ( 4 % );22 / 92 ( 24 % );134;1,140 / 276,480 ( < 1 % );249.75
63;30;RS_GF_64;250 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );257.0
63;29;RS_GF_64;255 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );273.6
63;28;RS_GF_64;246 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );269.91
63;27;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );256.87
63;26;RS_GF_64;250 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );255.49
63;25;RS_GF_64;242 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );254.84
63;24;RS_GF_64;251 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );262.47
63;23;RS_GF_64;250 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );242.6
63;22;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );248.02
63;21;RS_GF_64;250 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );255.3
63;20;RS_GF_64;256 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );248.63
63;19;RS_GF_64;244 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );248.26
63;18;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );220.02
63;17;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );251.38
63;16;RS_GF_64;253 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );246.43
63;15;RS_GF_64;255 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );264.06
63;14;RS_GF_64;248 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );258.2
63;13;RS_GF_64;247 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );246.43
63;12;RS_GF_64;251 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );272.41
63;11;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );251.38
63;10;RS_GF_64;252 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );245.88
63;9;RS_GF_64;254 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );250.88
63;8;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );253.68
63;7;RS_GF_64;244 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );252.46
63;6;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );259.2
63;5;RS_GF_64;247 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );254.97
63;4;RS_GF_64;245 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );261.78
63;3;RS_GF_64;253 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );254.39
63;2;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );242.01
63;1;RS_GF_64;249 / 6,272 ( 4 % );22 / 92 ( 24 % );135;1,140 / 276,480 ( < 1 % );239.12
127;125;RS_GF_128;255 / 6,272 ( 4 % );24 / 92 ( 26 % );144;2,674 / 276,480 ( < 1 % );250.06
127;124;RS_GF_128;256 / 6,272 ( 4 % );24 / 92 ( 26 % );145;2,674 / 276,480 ( < 1 % );260.62
127;123;RS_GF_128;253 / 6,272 ( 4 % );24 / 92 ( 26 % );145;2,674 / 276,480 ( < 1 % );249.63
127;122;RS_GF_128;256 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );259.34
127;121;RS_GF_128;266 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );250.0
127;120;RS_GF_128;257 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );242.31
127;119;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );146;2,674 / 276,480 ( < 1 % );247.89
127;118;RS_GF_128;255 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );242.84
127;117;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );261.78
127;116;RS_GF_128;255 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );250.75
127;115;RS_GF_128;262 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );253.87
127;114;RS_GF_128;252 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );242.48
127;113;RS_GF_128;262 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );253.36
127;112;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );252.59
127;111;RS_GF_128;254 / 6,272 ( 4 % );24 / 92 ( 26 % );147;2,674 / 276,480 ( < 1 % );263.37
