tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-30,9.999999999999999e-31,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683794e-30,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-29,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-29,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1.0000000000000001e-28,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-28,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683794e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,9.999999999999999e-27,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-26,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-25,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683796e-25,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-24,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683795e-24,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683793e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,9.999999999999999e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683793e-22,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-21,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683792e-21,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1.0000000000000001e-20,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-20,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.1622776601683796e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,9.999999999999999e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-18,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-17,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,3.162277660168379e-17,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-30,1e-16,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,3.1622776601683793e-16,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,1e-15,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,3.1622776601683794e-15,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,1e-14,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,3.1622776601683796e-14,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,1e-13,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-30,3.162277660168379e-13,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-30,1e-12,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-30,3.162277660168379e-12,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
