N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
127;101;RS_GF_128;260 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.75
127;99;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );257.47
127;97;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );234.63
127;95;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );252.08
255;253;RS_GF_256;1,016 / 6,272 ( 16 % );26 / 92 ( 28 % );295;6,128 / 276,480 ( 2 % );166.2
255;251;RS_GF_256;1,304 / 6,272 ( 21 % );26 / 92 ( 28 % );434;6,128 / 276,480 ( 2 % );105.89
255;249;RS_GF_256;1,545 / 6,272 ( 25 % );26 / 92 ( 28 % );563;6,128 / 276,480 ( 2 % );107.28
255;247;RS_GF_256;1,763 / 6,272 ( 28 % );26 / 92 ( 28 % );692;6,128 / 276,480 ( 2 % );109.27
255;245;RS_GF_256;1,991 / 6,272 ( 32 % );26 / 92 ( 28 % );821;6,128 / 276,480 ( 2 % );103.5
255;243;RS_GF_256;2,217 / 6,272 ( 35 % );26 / 92 ( 28 % );949;6,128 / 276,480 ( 2 % );105.36
255;241;RS_GF_256;2,465 / 6,272 ( 39 % );26 / 92 ( 28 % );1077;6,128 / 276,480 ( 2 % );99.05
255;239;RS_GF_256;2,706 / 6,272 ( 43 % );26 / 92 ( 28 % );1206;6,128 / 276,480 ( 2 % );97.13
255;237;RS_GF_256;2,958 / 6,272 ( 47 % );26 / 92 ( 28 % );1335;6,128 / 276,480 ( 2 % );101.99
255;235;RS_GF_256;3,207 / 6,272 ( 51 % );26 / 92 ( 28 % );1463;6,128 / 276,480 ( 2 % );97.93
255;233;RS_GF_256;3,429 / 6,272 ( 55 % );26 / 92 ( 28 % );1591;6,128 / 276,480 ( 2 % );94.73
255;231;RS_GF_256;3,646 / 6,272 ( 58 % );26 / 92 ( 28 % );1719;6,128 / 276,480 ( 2 % );95.14
255;229;RS_GF_256;3,870 / 6,272 ( 62 % );26 / 92 ( 28 % );1847;6,128 / 276,480 ( 2 % );94.98
255;227;RS_GF_256;4,103 / 6,272 ( 65 % );26 / 92 ( 28 % );1975;6,128 / 276,480 ( 2 % );90.51
255;225;RS_GF_256;4,372 / 6,272 ( 70 % );26 / 92 ( 28 % );2103;6,128 / 276,480 ( 2 % );94.26
255;223;RS_GF_256;4,594 / 6,272 ( 73 % );26 / 92 ( 28 % );2232;6,128 / 276,480 ( 2 % );94.71
